collection_no,record_type,formation,lng,lat,collection_name,collection_subset,collection_aka,n_occs,early_interval,late_interval,max_ma,min_ma,reference_no,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,paleolng,paleolat,geoplate
79917,col,,-13.09,27.73,"Site H, Tarfaya",,,1,Holocene,,0.0117,0,26853,MA,,,estimated from map,3,outcrop,near Tarfaya,gp_mid,-13.09,27.73,714
79930,col,,18.5,-33.916668,"Yzerplaats, Holocene",,Ysterplaats,1,Holocene,,0.0117,0,26860,ZA,,,stated in text,minutes,,"a quarry at Yzerplaats, on the Cape Flats near Maitland, about 3.5 miles north-east of the City Hall, Cape Town. Owned and worked by the Harbour Authorities",gp_mid,18.5,-33.92,701
80134,col,,-60.215832,55.449722,YPM bulk sample - Hopedale,,Labrador Loc. 5,7,Holocene,,0.0117,0,19909,CA,Newfoundland and Labrador,,based on nearby landmark,seconds,outcrop,"SPECIFIC LOCATION: Hopedale, Labrador, Canada. LAT/LONG: estimated based on Hopedale, Labrador.",gp_mid,-60.22,55.45,101
80604,col,,149.166672,-21.166668,Mackay,,,1,Holocene,,0.0117,0,27119,AU,Queensland,,stated in text,minutes,,,gp_mid,149.17,-21.17,801
80605,col,,45.033333,1.866667,Danae,,,1,Holocene,,0.0117,0,27119,SO,,,stated in text,minutes,,,gp_mid,45.03,1.87,709
80606,col,,31.6,-29.65,Blythesdale Beach,,,1,Holocene,,0.0117,0,27119,ZA,,,stated in text,minutes,,Natal,gp_mid,31.6,-29.65,701
80607,col,,32.683334,-27.566668,Sodwana Bay,,,1,Holocene,,0.0117,0,27119,ZA,,,stated in text,minutes,,Natal,gp_mid,32.68,-27.57,701
80608,col,,73.433334,3.433333,Felidhu Atoll,,,1,Holocene,,0.0117,0,27119,MV,,,stated in text,minutes,,,gp_mid,,,coordinates not computable using this model
80622,col,,4.625278,52.459721,Ijmuiden,,,1,Holocene,,0.0117,0,29778,NL,,,estimated from map,seconds,,,gp_mid,4.63,52.46,315
80623,col,,18.459999,60.349998,Graso,,,1,Holocene,,0.0117,0,61733,SE,,,estimated from map,seconds,,,gp_mid,18.46,60.35,302
80624,col,,2.681944,51.116112,Oostduinkerke-Koksijde,,,1,Holocene,,0.0117,0,27125,BE,,,estimated from map,seconds,,,gp_mid,2.68,51.12,315
80625,col,,-4.785278,50.291668,Pentewan,,Babbacombe Bay,1,Holocene,,0.0117,0,27125,UK,England,Cornwal,estimated from map,seconds,,,gp_mid,-4.79,50.29,315
80626,col,,-3.521389,50.481388,Babbacombe Bay,,,1,Holocene,,0.0117,0,29063,UK,England,Devon,estimated from map,seconds,,,gp_mid,-3.52,50.48,315
80801,col,,145.333328,-15.416667,"Boulder reef, inner shelf core, Section 1, R 1",,Reef 3804,5,Holocene,,0.0117,0,27144,AU,Queensland,,estimated from map,minutes,outcrop,"located in the northern Great Barrier Reef, Boulder Reef is a flat-topped platform reef about 5-km east of Cooktown on the inner shelf and is 3.5 km long and 2.5 km wide",gp_mid,145.33,-15.42,801
81666,col,,172.739166,-43.557499,Moa Bone Point Cave,,"Te Ana O Hineraki, Redcliffs",2,Holocene,,0.0117,0,10123,NZ,,,estimated from map,seconds,outcrop,,gp_mid,172.74,-43.56,807
81670,col,,54.370556,24.476389,Abu Dhabi,,,1,Holocene,,0.0117,0,27581,AE,,,estimated from map,seconds,,,gp_mid,54.37,24.48,503
81680,col,,152.54277,76.150558,Zhokhov Island,,Ostrov Zhkhova,2,Holocene,,0.0117,0,27585,RU,,,estimated from map,seconds,,,gp_mid,152.54,76.15,401
81839,col,,23.670279,77.553612,Svalbard Holocene,,,1,Holocene,,0.0117,0,27585,NO,,,estimated from map,seconds,,"precise locality not clear, coordinates are for Svalbard in general",gp_mid,23.67,77.55,311
82008,col,,139.633331,35.183334,"Misaki, central Honshu - drift [Nautiloidea]",,,1,Holocene,,0.0117,0,27657,JP,,,based on nearby landmark,seconds,hand sample,"SPECIFIC LOCATION: Misaki, central Honshu, Japan. LAT/LONG: estimated based on Misaki, Japan.",gp_mid,139.63,35.18,610
82009,col,,129.666672,33.833332,"Tanegashima Island, south Kyushu - drift [Nautiloidea]",,,1,Holocene,,0.0117,0,27657,JP,,,based on nearby landmark,seconds,hand sample,"SPECIFIC LOCATION: Tanegashima Island, south Kyushu, Japan. LAT/LONG: estimated based on Tanegashima Island, Japan.",gp_mid,129.67,33.83,610
82010,col,,128.183334,26.700001,"Okinawa Island, Okinawa - drift [Nautiloidea]",,,1,Holocene,,0.0117,0,27657,JP,,,based on nearby landmark,seconds,hand sample,"SPECIFIC LOCATION: Okinawa Island, Okinawa, Japan. LAT/LONG: estimated based on Okinawa Island, Japan.",gp_mid,,,coordinates not computable using this model
82011,col,,121.540833,22.051111,Kotosho Island - drift [Nautiloidea],,"Kasyoto, Huangtougu",1,Holocene,,0.0117,0,27657,TW,,,based on nearby landmark,seconds,hand sample,"SPECIFIC LOCATION: Kotosho Island (= Kasyoto, Huangtougu) Taiwan. LAT/LONG: estimated based on Kotosho Island, Taiwan.",gp_mid,121.54,22.05,659
82012,col,,99.616669,6.6,Ko Tarutao - drift [Nautiloidea],,,1,Holocene,,0.0117,0,27657,TH,,,based on nearby landmark,seconds,hand sample,"SPECIFIC LOCATION: Ko Tarutao, SW Thailand. LAT/LONG: estimated based on Ko Tarutao, Thailand.",gp_mid,99.62,6.6,616
82013,col,,93.5,8,Nicobar Islands - drift [Nautiloidea],,,1,Holocene,,0.0117,0,27657,IN,,,based on nearby landmark,seconds,hand sample,"SPECIFIC LOCATION: Nicobar Islands, India. LAT/LONG: estimated based on Nicobar Islands, India.",gp_mid,,,coordinates not computable using this model
82014,col,,128,-2,Moluccas - drift [Nautiloidea],,,1,Holocene,,0.0117,0,27657,ID,,,based on nearby landmark,seconds,hand sample,"SPECIFIC LOCATION: Moluccas, Indonesia. LAT/LONG: estimated based on Moluccas, Indonesia.",gp_mid,128,-2,684
82015,col,,131.583328,-2.666667,Pisang Islands - drift [Nautiloidea],,,1,Holocene,,0.0117,0,27657,ID,,,based on nearby landmark,seconds,hand sample,"SPECIFIC LOCATION: Pisang Islands, Indonesia. LAT/LONG: estimated based on Pisang Islands, Indonesia.",gp_mid,131.58,-2.67,800
82016,col,,134.5,-6,"Daba Island, Aroe Islands - drift [Nautiloidea]",,,1,Holocene,,0.0117,0,27657,ID,,,based on nearby landmark,seconds,hand sample,"SPECIFIC LOCATION: Daba Island, Aroe Islands, Indonesia. LAT/LONG: estimated based on Aroe Islands, Indonesia.",gp_mid,134.5,-6,801
82017,col,,147.136108,-9.466389,Port Moresby - drift [Nautiloidea],,,1,Holocene,,0.0117,0,27657,PG,,,based on nearby landmark,seconds,hand sample,"SPECIFIC LOCATION: Port Moresby, Papua New Guinea. LAT/LONG: estimated based on Port Moresby, Papua New Guinea.",gp_mid,147.14,-9.47,800
82018,col,,145.233337,-15.4,Cape Bedford - drift [Nautiloidea],,,1,Holocene,,0.0117,0,27657,AU,Queensland,,based on nearby landmark,seconds,hand sample,"SPECIFIC LOCATION: Cape Bedford, Queensland, Australia. LAT/LONG: estimated based on Cape Bedford, Australia.",gp_mid,145.23,-15.4,801
82019,col,,153.149994,-30.299999,"Coff's Harbour, north of Bellinger River - drift [Nautiloidea]",,,1,Holocene,,0.0117,0,27657,AU,New South Wales,,based on nearby landmark,seconds,hand sample,"SPECIFIC LOCATION: Coff's Harbour, north of Bellinger River, New South Wales, Australia. LAT/LONG: estimated based on Coff's Harbour, Australia.",gp_mid,153.15,-30.3,801
82020,col,,151.25,-33.849998,Port Jackson - drift [Nautiloidea],,,1,Holocene,,0.0117,0,27657,AU,New South Wales,,based on nearby landmark,seconds,hand sample,"SPECIFIC LOCATION: Port Jackson, New South Wales, Australia. LAT/LONG: estimated based on Port Jackson, Australia.",gp_mid,151.25,-33.85,801
82021,col,,137.266663,-35.183334,"Foul Bay, southern Yorke Peninsula - drift [Nautiloidea]",,,1,Holocene,,0.0117,0,27657,AU,South Australia,,based on nearby landmark,seconds,hand sample,"SPECIFIC LOCATION: Foul Bay, southern Yorke Peninsula, South Australia, Australia. LAT/LONG: estimated based on Foul Bay, Australia.",gp_mid,137.27,-35.18,801
82022,col,,114.599998,-28.766666,North of Geraldton - drift [Nautiloidea],,,1,Holocene,,0.0117,0,27657,AU,Western Australia,,based on nearby landmark,seconds,hand sample,"SPECIFIC LOCATION: North of Geraldton, Western Australia, Australia. LAT/LONG: estimated based on Geraldton, Australia.",gp_mid,114.6,-28.77,801
82023,col,,174,-35.5,"Ninety Mile Beach, Northland - drift [Nautiloidea]",,,2,Holocene,,0.0117,0,27657,NZ,,,based on nearby landmark,seconds,hand sample,"SPECIFIC LOCATION: Ninety Mile Beach, Northland, North Island, New Zealand. LAT/LONG: estimated based on Ninety Mile Beach, New Zealand.",gp_mid,174,-35.5,806
82024,col,,-177.899994,-29.266666,"Sunday Island, Kermadec Islands - drift [Nautiloidea]",,Raoul Island,2,Holocene,,0.0117,0,27657,NZ,,,based on nearby landmark,seconds,hand sample,"SPECIFIC LOCATION: Sunday Island, Kermadec Islands, New Zealand. LAT/LONG: estimated based on Sunday Island, New Zealand.",gp_mid,,,coordinates not computable using this model
82025,col,,134,-1.5,Manokwari - drift [Nautiloidea],,,2,Holocene,,0.0117,0,27657,ID,,,based on nearby landmark,seconds,hand sample,"SPECIFIC LOCATION: Manokwari, Indonesia. LAT/LONG: estimated based on Manokwari, Indonesia.",gp_mid,134,-1.5,800
82026,col,,99.48333,7.033333,Ko Phe Tra - drift [Nautiloidea],,,1,Holocene,,0.0117,0,27657,TH,,,based on nearby landmark,seconds,hand sample,"SPECIFIC LOCATION: Ko Phe Tra, SW Thailand. LAT/LONG: estimated based on Ko Phe Tra, Thailand.",gp_mid,99.48,7.03,616
82027,col,,128,26.5,"Liu Kiu Islands, Okinawa - drift [Nautiloidea]",,,1,Holocene,,0.0117,0,27657,JP,,,based on nearby landmark,seconds,hand sample,"SPECIFIC LOCATION: Liu Kiu Islands, Okinawa, Japan. LAT/LONG: estimated based on Liu Kiu Islands, Japan.",gp_mid,,,coordinates not computable using this model
82028,col,,124,24.333332,"Yaeyama Islands, Okinawa - drift [Nautiloidea]",,,1,Holocene,,0.0117,0,27657,JP,,,based on nearby landmark,seconds,hand sample,"SPECIFIC LOCATION: Yaeyama Islands, Okinawa, Japan. LAT/LONG: estimated based on Yaeyama Islands, Japan.",gp_mid,,,coordinates not computable using this model
82029,col,,125.333336,24.783333,"Miyako Island, Okinawa - drift [Nautiloidea]",,,4,Holocene,,0.0117,0,27657,JP,,,based on nearby landmark,seconds,hand sample,"SPECIFIC LOCATION: Miyako Island, Okinawa, Japan. LAT/LONG: estimated based on Miyako Island, Japan.",gp_mid,,,coordinates not computable using this model
82030,col,,129.333328,28.25,"Amani Oshima, south Kyushu - drift [Nautiloidea]",,,1,Holocene,,0.0117,0,27657,JP,,,based on nearby landmark,seconds,hand sample,"SPECIFIC LOCATION: Amani Oshima, south Kyushu, Japan. LAT/LONG: estimated based on Tanegashima Island, Japan.",gp_mid,,,coordinates not computable using this model
82084,col,,-12.285,-37.110001,beach south of Anchorstock Point,,,1,Holocene,,0.0117,0,27680,SH,Tristan da Cunha,,estimated from map,seconds,,,gp_mid,,,coordinates not computable using this model
82085,col,,-12.256111,-37.06889,Runaway Beach,,,1,Holocene,,0.0117,0,27680,SH,Tristan da Cunha,,estimated from map,seconds,,,gp_mid,,,coordinates not computable using this model
82086,col,,-12.2825,-37.164722,Dead Man's Beach,,,1,Holocene,,0.0117,0,27680,SH,Tristan da Cunha,,estimated from map,seconds,,,gp_mid,,,coordinates not computable using this model
82087,col,,39.475555,-6.454167,Kizimkazi,,,2,Holocene,,0.0117,0,27681,TZ,,,estimated from map,seconds,,,gp_mid,39.48,-6.45,701
82088,col,,141.038055,45.275276,Shiretoko,,,13,Holocene,,0.0117,0,27682,JP,,,estimated from map,seconds,,,gp_mid,141.04,45.28,610
82089,col,,167.600006,-16.516666,"Ravellec bay, Malakula",,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,167.6,-16.52,677
82090,col,,167.116669,-20.766666,"Baie du Santal, Lifou",,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,167.12,-20.77,834
82091,col,,-16.370277,28.352777,Candelaria,,Playa La Viuda,1,Holocene,,0.0117,0,27684,ES,Canary Islands,,estimated from map,seconds,,,gp_mid,,,coordinates not computable using this model
82092,col,,-42.033333,-2.733333,Praia de Mangue Seco,,,1,Holocene,,0.0117,0,27685,BR,,,stated in text,minutes,,Caju Island,gp_mid,-42.03,-2.73,201
82093,col,,69.373611,-49.526112,Kerguelen Island,,,1,Holocene,,0.0117,0,27686,TF,,,estimated from map,seconds,,"coordinates are for the island itself, precise locality unknown",gp_mid,,,coordinates not computable using this model
82260,col,,-64.724442,32.340279,Cockroach Island,,,3,Holocene,,0.0117,0,27720,BM,,,estimated from map,seconds,,,gp_mid,,,coordinates not computable using this model
96349,col,,112.87944,9.54,"Nanyong-1 core, Yongshu reef, 15.42-16.8 m",,,17,Holocene,,0.0117,0,27979,CN,,,stated in text,seconds,small collection,"situated in the northern part of Nansha Islands, South China Sea, Nanyong-1 core is 200 m from the western south edge of Yongshu reef",gp_mid,112.88,9.54,621
83303,col,,9.833333,16.966667,Gobero Sites G1-G3,,,21,Holocene,,0.0117,0,27974,NE,,,estimated from map,minutes,outcrop,,gp_mid,9.83,16.97,714
83304,col,,9.833333,16.966667,Gobero Mid-Holocene Middens 1-4,,,24,Holocene,,0.0117,0,27974,NE,,,estimated from map,minutes,outcrop,,gp_mid,9.83,16.97,714
83305,col,,9.833333,16.966667,Gobero Early Holocene Refuse,,,21,Holocene,,0.0117,0,27974,NE,,,estimated from map,minutes,outcrop,,gp_mid,9.83,16.97,714
83454,col,,167.433334,-22.549999,Baie de Gadji,,Isle of Pines,3,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,167.43,-22.55,834
83455,col,,161.766663,-21.816668,"Presqu 'Ile Le Bris, La Foa",,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,,,coordinates not computable using this model
83456,col,,165.850006,-21.416668,Baie de Kouaoua,,,2,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,165.85,-21.42,834
83457,col,,166.46666,-22.266666,"Baie de Magenta, Noumea",,,4,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,166.47,-22.27,834
83458,col,,166.449997,-22.283333,"Baie de Sante-Marie, Noumea",,,2,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,166.45,-22.28,834
83459,col,,166.333328,-21.666668,"Baie de Tamanou, Thio",,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,166.33,-21.67,834
83460,col,,166.816666,-22.333332,Baie de Somme,,,2,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,166.82,-22.33,834
83461,col,,166.433334,-22.299999,"Rocher a la Voile, Noumea",,"Anse Vata, Noumea",1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,166.43,-22.3,834
83462,col,,164.816666,-21.85,Baie de Ouano,,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,164.82,-21.85,834
83463,col,,166.100006,-22.083332,"Ilot Mathieu, Baie de Saint-Vincent",,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,166.1,-22.08,834
83464,col,,166.449997,-22.25,"Ko We Kara, Noumea",,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,166.45,-22.25,834
83465,col,,164.416672,-22.733334,"Baie des Requins, Koumac",,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,,,coordinates not computable using this model
83466,col,,166.383331,-22.266666,Plage de Kuendu,,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,166.38,-22.27,834
83467,col,,166.316666,-22.183332,Baie Papaye,,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,166.32,-22.18,834
83468,col,,166.5,-22.266666,Baie de Tina,,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,166.5,-22.27,834
83473,col,,166.300003,-20.433332,"Saint-Joseph, Ouvea",,,1,Holocene,,0.0117,0,27683,PF,Loyalty Islands,,stated in text,minutes,,,gp_mid,166.3,-20.43,834
83474,col,,167.583328,-22.533333,"Ilot Menore, Isle of Pines",,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,167.58,-22.53,834
83475,col,,164.899994,-20.633333,"Recif Ouengip, Hienghene",,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,164.9,-20.63,834
83476,col,,166.949997,-22.35,Port-Boise,,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,166.95,-22.35,834
83477,col,,166.666672,-22.299999,Plage de Plum,,,2,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,166.67,-22.3,834
83478,col,,165.166672,-20.766666,Vieux Touho,,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,165.17,-20.77,834
83479,col,,164.03334,-20.233334,Poum,,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,164.03,-20.23,834
83480,col,,165.333328,-21.6,Gouaro Deva,,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,165.33,-21.6,834
83481,col,,166.433334,-22.25,"Grande Rade, Noumea",,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,166.43,-22.25,834
83482,col,,166.800003,-22.466667,Ile Ouen,,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,166.8,-22.47,834
83483,col,,164.46666,-20.85,Ouaco,,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,164.47,-20.85,834
83484,col,,164.116669,-20.566668,Tao reef,,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,164.12,-20.57,834
83485,col,,167.266663,-20.75,"Baie de Hnatalo, Lifou",,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,167.27,-20.75,834
83486,col,,166.399994,-22.25,Nouville,,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,166.4,-22.25,834
83487,col,,167.25,-20.883333,"Baie de Chateaubriand, Lifou",,,1,Holocene,,0.0117,0,27683,PF,Loyalty Islands,,stated in text,minutes,,,gp_mid,167.25,-20.88,834
83488,col,,165.416672,-20.950001,"Cap Bayes, Poindimie",,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,165.42,-20.95,834
83489,col,,165.399994,-20.983334,"Ouindo, Poindimie",,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,165.4,-20.98,834
83490,col,,165.266663,-20.85,"Kohengone, Touho",,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,165.27,-20.85,834
83491,col,,165.399994,-21.616667,"Poe, Bourail",,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,165.4,-21.62,834
83492,col,,166.800003,-22.5,Recif des 5000,,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,166.8,-22.5,834
83493,col,,165.46666,-21.65,Platier de Bourail,,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,165.47,-21.65,834
83494,col,,167.233337,-22.450001,Passe de la Sarcelle,,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,167.23,-22.45,834
83495,col,,165.266663,-20.65,"Mengalia Reef, Touho",,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,165.27,-20.65,834
83496,col,,164.21666,-20.566668,"Platier de Tangadiou, Koumac",,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,164.22,-20.57,834
83497,col,,165.483337,-20.9,"Ilot Bayes, Poindimie",,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,165.48,-20.9,834
83498,col,,166.149994,-22.133333,Ilot Goldfield,,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,166.15,-22.13,834
83499,col,,163.949997,-20.383333,"Ilot Carrey, Poum",,,1,Holocene,,0.0117,0,27683,NC,,,stated in text,minutes,,,gp_mid,163.95,-20.38,834
83500,col,,166.600006,-20.450001,"Baie de Takedji, Ouvea",,,1,Holocene,,0.0117,0,27683,PF,Loyalty Islands,,stated in text,minutes,,,gp_mid,166.6,-20.45,834
83501,col,,168.300003,-17.766666,"Erakor lagoon, Port-Vila",,,1,Holocene,,0.0117,0,27683,VU,,,stated in text,minutes,,,gp_mid,168.3,-17.77,677
84373,col,,56.916668,74.73333,Hovgard Kystland,,Numatarsuaq,1,Holocene,,0.0117,0,28274,DK,Greenland,,stated in text,minutes,,8125+- 50 RCYBP,gp_mid,56.92,74.73,302
84890,col,,-118.355835,34.062778,"Rancho La Brea, Pit 67",,,1,Holocene,,0.0117,0,2018,US,California,Los Angeles,estimated from map,seconds,,La Brea Tar Pits,gp_mid,-118.36,34.06,105
84942,col,,146.485199,-43.516487,"Van Diemen's Land, south",,,1,Holocene,,0.0117,0,12161,AU,Tasmania,,stated in text,6,basin,,gp_mid,146.49,-43.52,801
84943,col,,-123.863647,46.185207,"Astoria, west",,,1,Holocene,,0.0117,0,12161,US,Oregon,Clatsop,estimated from map,6,,,gp_mid,-123.86,46.19,129
86521,col,,-5.164722,50.113056,Pentuan,,,1,Holocene,,0.0117,0,29063,UK,England,,estimated from map,seconds,,,gp_mid,-5.16,50.11,315
86522,col,,-74.190277,39.959442,Toms River,,,1,Holocene,,0.0117,0,29063,US,New Jersey,Ocean,estimated from map,seconds,,,gp_mid,-74.19,39.96,109
86523,col,,-78.894165,33.696667,"Myrtle Beach, Holocene",,,1,Holocene,,0.0117,0,29063,US,South Carolina,Horry,estimated from map,seconds,,,gp_mid,-78.89,33.7,109
86524,col,,-75.621666,35.949165,Nags Head,,,1,Holocene,,0.0117,0,29063,US,North Carolina,Dare,estimated from map,seconds,,,gp_mid,-75.62,35.95,109
86525,col,,-75.830833,36.385277,Corolla,,,1,Holocene,,0.0117,0,29063,US,North Carolina,Currituck,estimated from map,seconds,,,gp_mid,-75.83,36.39,109
86526,col,,-72.395836,40.883888,Southampton,,,1,Holocene,,0.0117,0,29063,US,New York,Suffolk,estimated from map,seconds,,,gp_mid,-72.4,40.88,109
86527,col,,-76.536667,34.605278,Cape Lookout,,,1,Holocene,,0.0117,0,29063,US,North Carolina,Carteret,estimated from map,seconds,,,gp_mid,-76.54,34.61,109
86873,col,,-56.388058,-34.791943,Rio de La Plata,,,4,Holocene,,0.0117,0,12161,UY,,,estimated from map,seconds,,"mouth of Rio de La Plata, near Montevideo, Uruguay",gp_mid,-56.39,-34.79,202
86874,col,,112.929726,29.321388,Tungting Lake,,Lake Dongting,1,Holocene,,0.0117,0,12161,CN,Hunan,,estimated from map,seconds,,,gp_mid,112.93,29.32,611
86876,col,,88.336945,22.704445,Hooghly River,,,1,Holocene,,0.0117,0,12161,IN,West Bengal,,estimated from map,seconds,,near Calcutta,gp_mid,88.34,22.7,501
86877,col,,-54.462776,4.9075,Maroni River,,,1,Holocene,,0.0117,0,12161,SR,,,estimated from map,seconds,,,gp_mid,-54.46,4.91,201
86878,col,,-43.209721,-22.90361,Bahia Rio de Janeiro,,,1,Holocene,,0.0117,0,12161,BR,,,estimated from map,seconds,,,gp_mid,-43.21,-22.9,201
86879,col,,113.001114,2.5575,Sarawak,,,1,Holocene,,0.0117,0,12161,MY,,,estimated from map,seconds,,,gp_mid,113,2.56,621
86880,col,,113.568336,22.886389,Canton River,,"Pearl River, Guangdong River",1,Holocene,,0.0117,0,12161,CN,,,estimated from map,seconds,,,gp_mid,113.57,22.89,611
86881,col,,-71.729446,-3.658056,Rio Maranon,,,1,Holocene,,0.0117,0,12161,PE,Loreto,,estimated from map,seconds,,above Pebas,gp_mid,-71.73,-3.66,201
86882,col,,82.734444,17.724167,Waltair,,"Vishakhapatnam, Vizagapatam",3,Holocene,,0.0117,0,12161,IN,Andhra Pradesh,,estimated from map,seconds,,"Madras, Bay of Bengal",gp_mid,82.73,17.72,501
86883,col,,9.569167,3.939444,Bay of Warships,,,1,Holocene,,0.0117,0,12161,CM,,,estimated from map,seconds,,near Douala,gp_mid,9.57,3.94,701
86884,col,,75.919167,10.235278,Malabar,,,1,Holocene,,0.0117,0,12161,IN,,,estimated from map,seconds,,"Hershkovitz (1966) states that this locality is on the Bay of Bengal, but Malabar is on the Arabian Sea, west coast of India, not the Bay of Bengal, east coast of India",gp_mid,75.92,10.24,501
86886,col,,-24.013332,16.002222,Boa Vista,,Cape Verde Islands,1,Holocene,,0.0117,0,12161,CV,,,estimated from map,seconds,,,gp_mid,,,coordinates not computable using this model
86887,col,,-100.165001,16.973057,"Acapulco, north",,,1,Holocene,,0.0117,0,12161,MX,,,estimated from map,seconds,,beach 20 miles north of Acapulco,gp_mid,-100.17,16.97,104
86888,col,,-35.166668,-16.733334,Albrolhos Bank,,,1,Holocene,,0.0117,0,12161,BR,,,stated in text,minutes,,in the neighborhood of the Abrolhos Bank,gp_mid,,,coordinates not computable using this model
86889,col,,40.666668,15.333333,Belhosse Island,,,1,Holocene,,0.0117,0,12161,ER,,,estimated from map,minutes,,"Belhosse Island is said to be in Ethiopia, but it appears to be in the country of Eritrea",gp_mid,40.67,15.33,709
86890,col,,-3.622778,50.413055,Duncannon Pool,,Stoke Gabriel,1,Holocene,,0.0117,0,12161,UK,England,Devonshire,estimated from map,seconds,,about five miles up River Dart,gp_mid,-3.62,50.41,315
86891,col,,-121.8825,36.593887,Monterey,,,1,Holocene,,0.0117,0,12161,US,California,Monterey,estimated from map,seconds,,,gp_mid,,,coordinates not computable using this model
86893,col,,111.043892,1.465556,Lutong River,,Baram,1,Holocene,,0.0117,0,12161,MY,Sarawak,,estimated from map,seconds,,,gp_mid,111.04,1.47,621
86894,col,,1.733056,52.607777,Great Yarmouth,,,1,Holocene,,0.0117,0,12161,UK,England,Norfolk,estimated from map,seconds,,,gp_mid,1.73,52.61,315
86895,col,,-122.56472,37.767776,San Francisco,,,1,Holocene,,0.0117,0,12161,US,California,San Francisco,estimated from map,seconds,,near San Francisco,gp_mid,,,coordinates not computable using this model
86896,col,,-66.099998,-55.799999,Straits of Magellan,,,1,Holocene,,0.0117,0,12161,AR,,,estimated from map,minutes,,Tierra del Fuego,gp_mid,-66.1,-55.8,291
86897,col,,18.475279,-34.358612,Cape of Good Hope,,,5,Holocene,,0.0117,0,12161,ZA,,,estimated from map,seconds,,,gp_mid,18.48,-34.36,701
86898,col,,-4.486944,48.390556,Brest,,,1,Holocene,,0.0117,0,12161,FR,,,estimated from map,seconds,,,gp_mid,-4.49,48.39,305
86899,col,,-3.066667,58.871666,Scapa Bay,,Scapay Bay,1,Holocene,,0.0117,0,12161,UK,Scotland,Orkney Islands,estimated from map,seconds,,,gp_mid,-3.07,58.87,303
86900,col,,129.820007,32.746113,Nagasaki,,,1,Holocene,,0.0117,0,12161,JP,,,estimated from map,seconds,,,gp_mid,129.82,32.75,610
86901,col,,-114.830833,30.048889,Punta San Felipe,,,1,Holocene,,0.0117,0,12161,MX,Baja California,,estimated from map,seconds,small collection,"northeast shore of Punta San Felipe, Gulf of California",gp_mid,-114.83,30.05,105
